task_1,translated
0,"5 lakh Muslims come to the dargah of Ajmer, only 300 policemen's trust, for Amarnath Yatra of 2 lakh Hindus, 80 thousand commandos, paramilitary fores, and crores of equipment are being planted Hindus. !! "
1,Modi's 'Return Gift' @Mimansa_zee and @Sachinarorra # Country at 8:05 PM @Zeenews 
0,"Talking about Santi, Should be shot shot to the temple "
1,"Congratulations on the sense of congratulations .. When I did not get home, then came there where I was going to pass from ito. Brothers for the surrounded by the car. He blessed the chanti ... "
1,"Revenge of the year but not changed the picture of Mumbai, what to say on this is the BJP spokesperson of Maharashtra: http://bit.ly/at_livetv # with attack_bol @anjanaomkashyap "
0,Brother is your lund cut 
1,"Friends, even if you buy a little cheaper, but this time someone gives a poor new clothes in Eid. # One_gujarish "
0,"Sister-in-law, you have shown in Bhadwa film that Brahmin people give abuses, what are you doing here? Bhadwagiri ?? Which of the dogs of the dog did not like the film, will you abuse? Anyway, you have a tremendous shock by being flopped. "
1,"2 wickets away from Team India, Murtaza 8 runs out https://bit.ly/2xvcuib "
1,We only decide on thinking about ourselves. Ever think about his influence on others. 
1,Big news will be voted in the same phase as BJP MPs killed shoes% Followback 
1,Rail passenger troubles at Mumbai's welfare station. Look at @Divyeshas #Reporterdiary Other Video: http://bit.ly/indiatodaySocial ... #mumbairainsLiveUpdates: https://bit.ly/326uzsy 
1,Captain Virat Kohli came in the rescue of MS Dhoni after the # CWC19 defeat. @Imvkohli @msdhoni @bcci https://www.wahcricket.com/news/wc-2019-virat-kohli-defends-ms-dhoni-kedar-jadhav-fter-bizarre-go-slow-approach-138727 ... 
1,"Congratulations to all the people #Ramadankareem. ~ Atik Ahmad, former MP "
0,"Pussy coward was your father's grandfather who was trying to cut his cocks with fear of Mughals and whose Nehru and Gandhi are talking about the British and Mulo's slaves and brokers were real independence, due to people like Azad and Bhagat Singh, Gandhi and Nehru Was ruddy "
1,"Jai Akhilesh Yadav Jai Samajism Vijay towards Vijay, Akhilesh Yadavjai Socialism ... "
0,"Abe Randi's Puppy Suwar's Najaji Aulad Tera Baap had got the mother of the country. Is this country which is only yours, you will get out of the mouth in the house. "
1,"It was silent, silent, glittered, colorful, I went out, I went to the cold, when the # bangles were buzzed on the gentle wrist, but the eyelid was sensible, laughed at lips , Tears hidden in the eyelids .. # Words # Hindi_ "
0,"Haramjade pig's son, you and your whole community are poor. Next time, if a Hindu spoke to a Hindu, then from where it has come back. "
0,But your ass will not kill sweet. You will die Kudasa only 
1,"When Modi had passed Vijay Mallya in jail during the election, then how did he reach the #Indvsaus match today in # CWC19? "
0,"Ray Moharchod @Manakgupta is not so much in your gand. You tweet your sins and tweet Rahul. If you have courage then the BJP will give you the tag and remind you to smile. Broker, Bhedwa and Lt Standard Part Standard !! https://twitter.com/Manakgupta/status/1145573600608391168 ... "
1,"Today, Nehhid was congratulating Eid. Nahid's parents died in an accident last days. This baby girl studying in the first year has also had a leg. I have promised every possible help in her studies. Eid Mubarak Bitia "
1,He had to smile at every situation. I had to defeat me in my victory. ~ Shahrukh Siddiqui #shahrukhsiddiqui @Srspoet 
1,"'Man, man, I used to think about water' ... Congratulations on Literature Aaj Tak on the Birthday of the poet Alokdhan "
1,"What is the same Totveer doing .. Now if there is no work, then it will be better if the business tax will be done ... "
1,"Only Baba Saheb janan and his man, then you will never need to go to any Baba. Jai Bhim .. * @Aamitjogi @ anjupra7743 @ cp4bhai @yadavsaniruddh @kiran_patniak @mayawati "
1,"Mother # Ganga is also # unfortunately, which passes # City # Ghazipur of # lowly people. This # city should just pass the dirty-dirty # drain touch ... # Ghazipurwaso_k "
1,I am getting your heart. A sanam ....... I love you again and again. # Bazm # Hindi_jaykealfaz 
1,"Hardly there will be such a place, where there is no person and not associated with yoga, so big, yoga has taken the form: PM @Narendramodi #Mannkibaat "
1,This time Ashadh month's secret Navratri is starting from July 03. 
1,Do not come to the land on social media and struggle to live. Yadav is paying a huge price to establish and support Mulayam Singh and Akhilesh Yadav politically. 
1,"Have finished, now we meet the flame, which is to meet, come in real form .... # auspicious_ratri "
0,The problem is like you like Matherchod Dhongi 'Pande'. Those who sneak the idol in the temple. Dhongi Matherchod Pramod 
1,"When you do not know when your heart is printed on the wall of my heart, you have to make your own, whenever you are in this heart. Bazm_masik_Gragita # Bazm_A_Iklas @ Queen_hoon11 @kavita_kosh @kuchshabd "
1,Thank you very much. The beauty of the heart is from the face. The thing which is good effect on the heart. Neem # Bazm # Hindi_mak # Bazm_A_Iklas @ Salehaiqbal6 @ Shaheen31304594 @abdal__abdullah @Vishakhapathak_ @ Mitalisarangi2 @Aayatkhan_ @ Queen_hoon11 @ Mansi94893004 @Yejivanhaiisjiv 
0,Abe Dhalay says that you are a journalist. Bhadwa and broker are you .. 
1,"In the High Court, my appeal has to be heard on Monday. If the government does not oppose the parole, it is possible that the parole is approved. In the event of not getting the parole, the announcement of supporting the election will not be done by my wife and if you came out, the election would be historic. "
0,These bechods can not write two words correctly and journalists are moving. 
1,"After leaving uncle Shivpal, Amar ""Uncle"" and ""Bua"", today ""Tau"" Ajit Singh also separated. "
0,Ki Ray Chinta Tehri Didiya's Bhatyan to Khandhar Haveli Banu Bhanchod ... I will leave the rat in the ocean Bhosa and make a small cave. 
0,The freshness of rapists were raised on the same day when the accused of Nirbhaya has given sewing machines and 10000 rupees in place of hanging. And all this happened because of only one materchor ..... 
1,Dream on the head of the darkness will find them in the light of life .... # Kanchu # Hindi_ 
0,"The Vaishya broker will not have anything on Tabrej Ansari, because he was a Muslim to die. Now the heart of Delhi is looking at Talibani. "
0,You are here to say that I said no 
1,Arif Mohammed (2/2) @khanumarfa #Tripletalaq @SureShnakhua @Mitmalviya @SureShnakhua @nanditathhakur @Punetsharma @VijayGoelbjp @Snikhil_Social 
1,"#Gujarat Living Gandhian Worker Sanjay #Jammukashmir At the level of #peace and friendship, which may be managed to change things at large, but some of the growing isolation in #Kashmir The work of healing will definitely. "
1,Nand Nagari police station got a fire on Saturday night in the vegetable market; Will be able to do. 
1,"This world is very beautiful, just look at the beauty of seeing. # Kanchu # Hindi_ "
1,BJP General Secretary Kailash Vijayvargiya's MLA son Akash today beating the encroachment of the Municipal Squad officials of the Bat of Squad. 
0,Now 
1,#Congratsnamo won the election from Pragya_thakur Bhopal 
1,#Modigovt has stopped giving #govtads to the three big media group newspapers. This list includes #Thehindu newspaper disclosed at #Rafaledeal. It is being said that this was done due to the criticism of the government and #BJP and print reports on Rafael Deal. 
1,"People in Hong Kong are opposing China, this is the reason ... "
1,"Riots Mast, Police Batter! Look at #dangal @Sardanarohit, at 5 o'clock, just on Aaj Tak "
1,We will not lose courage and we will come back again. Jai Socialism Jai Akhilesh Samajwadi Party Zindabad will not lose courage. We will come back hard. 
0,"You are screaming like a broker, now what is the need to speak others, in New Zealand, when you said, "
1,Zayara's film journey is only of three films in 5 years. (@Iam_hricha) 
0,It also makes a lot of land. 
1,"Kongrumination Sir, to think that your government will come next time "
0,"Both were thieves, one stole the rice to erase hunger, the other stole the bike for their profession so that the rice thief does not show religion because the rice thief was a Hindu, a Hindu, who saw a Hindu. Then start the drama of pseudo-secular dogs, Hi Tauba "
1,"Congratulations to @kuljeetschahal forappe Appointed as Primary Membership Pramukh of @ bjp4delhi is to add everyone. To add to Modi in Delhi, BJP will be formed only in Delhi. "
0,Mani Shankar Iyer was absolutely right. It is very poor # lowly human. # Lowly_modi 
1,"Know how many rape accused, BJP says that it is right for the reason that it is right in the ashram. "
1,To become Singham from the poor .......... Madam SP is positioned in South Kanpur ...... 
0,"The devotee who licks the Bhosadke is written in the law from such a cone, it is mandatory to speak Jai Shriram to live in India, you are the same people who have caught the land in their hands. Varna will start to get rid of himself "
1,Actress Tamanna Bhatia Nawazuddin's next film 'Bole Bangles' has been seen in the lead role in the main role and Sonakshi Sinha's upcoming film 'Khadani Shakkhan' has been released on 'Coca' social media. #Cinejivan 
1,"LIVE LIVE: PM Modi mentioned Premchand's story 'Idgah', 'Pus Night' and 'Nasha' "
0,"When # Pragya_thakur ... can become MPs, then it is useless to discuss Ram Rahim. The government has its own According to us, Ram Rahim should put cold beds and put it in the traitia segment. "
1,Where to find ..! Where love is mixed there goes where there is no business. # Hindi # Words 
1,LKO-STF's magnificent success- A lakh prize criminal order in Muzaffarnagar encounter in stf ..... Muzaffarnagar encounter in Mirpur ... 
1,"These are the circumstances ... a day will improve, but many people will get off from my heart ... !! # Kadwa_cho #Sarika # Marie: "
1,"22 Prime Ministers meeting on May 21! Now after the results of May 23, the meeting will be 24 or in 2024 ...! The meeting of 22 Prime Ministers to be held on May 21 will now be considered after the result of May 23 will be 24 or in 2024. ..! ... "
1,Habeeb-e-Millat Janab Akbaruddin Owaisi Ke Janam Din Ke Mouqe Per #Kanchanbagh Aur #upuguda Divisions #chandrayangutta Constituency Me Bach'oun Ke Liye Ta'Aam (LUNCH) KA INTEZAM AUR HABEEB-E-MILLAT KI SEHAT KE LIYE QUSUSI DUA ' oun ka ehtemam kiya gaya @asadowaisi @shaukat_aimim 
1,Thanks to the burden of thousands of na-muffmal. 
1,#NEECH # Despite #BJP_ Bhagao_Broo #BJPSCaredofKejriwal #Aap # Loksabhaelections2019 # One_tha_modi # Watcher_Core_ # Voteo 
1,"Aaj Jharkhand Ranchi Me Kranti_Veer Birsha Munda Ki Murti Todi Gai Hai , @aemim_national CM @dasraghubar ji aur PM @narendramodi ji se appeal karti hai ki Krantikari BirsaMunda ji ka apman karne wale logo ke khilaf karyawahi Kare, Aur jald se jald murti ko dobara se banwaye "
1,Right now the sun did not go properly and my question and the news of the victory of Sher Ai Hindustan Sahib @asadowaisi Sahib 
1,Aimim Bahraich team completed the procession to the President's related memorandum @ Shaukatali_77 @ Ahmad2409 @ Syedkashaf95 @asadowaisi @syedasimwaqar @Pathan_sumaya @Sufiyanahmadmim @aimim_national @Aimimfansclub 
1,Happy Birthday to Mrs @Smritiirani ji becoming a woman and child development and textile minister. 
1,"Dr. Mukherjee opposed two legislative two heads and two marks in a country, considering Kashmir as an integral part of India and the battle to eliminate the permit rule, the permit rule ended his sacrifice - Mr. @Manojtiwarimp "
1,* The locks of prison broke ... * * Akash Bhaiya was discounted .... # Jai_Shriram 
1,Uday houses Udiman Huo Mawd Ra Karaj Shapaan Na Rana Pratap Na Milo Chatak Sohan Na Balasi O Jabbar Hui Elephi So Sleeping No. Singh Lions Abhikhali Rahad Kari Bariya Nahin Chatta Do not Let's Do It Mawad Na Pratap Sa Veer Nawjan 
1,Enjoy Salasar Balaji Baba's morning 
0,Abe did not see the blind you of the eye. 
0,"In this case, the name of the priest should also be dragged by the name of Bhadve Chutiya "
0,"I should tell these monsters like these @anubhavsinha have created a crack in Hindu-Muslims before their actions, now Salea is dividing various castes inside the Hindus. Terrorism should be prosecuted above. # Bastard "
1,"A visual officer of the office of UP Power Corporation - Which team is batting to check the score - Where Sir! India was the batting but the water went away, the match stopped officer - there was rain in England and you are flying here? Get up and cut the light of the neighborhood! "
1,"If the Kashmir problem is still there is now needed new thinking. Our attachment to our Kashmir valley is more than anyone else. We would like to give people education, employment, electricity and development to the valley. But who do not consider India's constitution, want to break India, they will be dealt with hardness. "
1,Yes than a few of the brothers I boot 
0,"All the secular Buddhists are still busy in your mother! Now there will be two slaughter for any crime, let's get out like all the rubbish kidneys! "
0,"If you create a CD next time, then lighting it! "
0,"We do not make any difference to brother, ... any temple breaks or rape, eat it. Harmal Hindu !! # Hindu_haram @ParMod__Delhi @Panditraamendra @Sengar_Krishan @ek__deshbhakt @ bjp4delhi "
0,"Some goddesses are saying that due to saffron color, India matches, "
0,It is fucking of this chitiya. 
1,"Shiv Sena does not give a saint not allowed in Ayodhya, it means that this is only BJP, it is a coalition of Santo and BJP, "
0,Wow whistle is dubbing 
1,"Sometimes I had to face me and my thoughts I became intelligence and thoughts, many times Tell a Follower # Hindi_________________ "
1,"Cricket fever is heading the head of the countrymen. In order to increase this thrill of cricket, a match has been arranged to show a match on the screen for cricket fans in a cinema hall. View @rkmrasesh #reporterdiary #Worldcuponindiatoday Other Video: http://bit.ly/indiatodaysocial ... "
1,"Rt @ tyagrajshekhawt gets heartbreak, when after rape with a girl, such a bad cruel, embarrassed, where these videos did not have been confused but Rajasthan at Https://twitter.com/tyagrajshekhawt/status / 1143941550961045505 / Video / 1 ... @BreakingTube @Live_hindustan @nai_dunia @mygrowingindia @Performindianew "
0,"Bhosdke will go ahead on our win, Bhikhmanga country's beggars "
1,"Currently, Thermal, Hydro and Nuclear Mixing in India are 462 Power Plants 274,980 MW Power Supply "
1,If the house is bad then the member will be bad 
1,"Halam that ""Mo"" who gave birth to ""Sameer Abbas"" like ""patriot"". "
1,"The name of those who exported meat should be printed in the newspaper, who are people who are real guidelines? "
0,The poor darits are starving but look at the bungalow of the goddess of this dalit and maybe the elephant also keeps gold ... no tank 
0,"Lampat Jhalchap, like you, 20-25 days like Ram Leela, and did not become the leader of the media and looted the media! All life spire! You Matherchod Pastoral Gauar Gahil Harami, Thyti Matharatan Saat Sit "
0,We will keep the slogan of brother brother and that pig will keep us ruining! 
1,"I have taught yoga to banks - Vijayamalia, "
1,"BJP MLA Sky released from Vijayvargiya jail, a supporter in the joy of getting bail was done by #akashvijayvargiya https://abpnews.abplive.in/india-news/celebratory-firing-outside-bjp-mla-akash-vijayvargiya -Office-in-Indore-1157241 ... "
1,The minor girl had filed a case against the service in the Women Police 
1,"Due to heavy rain, life has become busy in Mumbai. Our correspondent is telling the circumstances of different places. #Reporterdiary (@journovidya, @Divyeshas) Other Video: http://bit.ly/indiatodaysocial ... "
0,"Delhi's 7 mp is their, Delhi Police is theirs. The government is sitting in the center. Now if there is a pig 'Allah Hu Akbar' sabotage in a temple. There is no news in the media. Which one is with everyone, everyone's development ?? "
1,People are having a lot of problems in Mumbai 
1,"Lucknow: Refuse to bring smack, then the 12-year-old Mohra pudded in the mouth of acid, mo. Saleem arrested by police. In the serious condition of the victim of Faizullanganj area of Mardiyav, it has been admitted to Balrampur Hospital in Lucknow, he can not even speak. "
1,Yogi Adityanath is the only Chief Minister of India !! Which is worried about every state except UP! 
1,"Government is considered expensive from MRP in the hotel-multiplex, the law will be made soon "
1,"In the name of giving a loan, private financiers are looting the whole country and teaching the Prime Minister of the country, "
1,"Sleeping and sleeping on the shoulder of the Chemistry, and everyone has a head on the shoulder !! In the class of Math, show the silence of everyone, the whole school comes roaming on the excuse of drinking water !! He was really very treasured. #BFF https://twitter.com/iamdkt12/status/1144940058740264960?s=19 ... "
1,"#Pakistan to get the World Bank, a loan of $ 72.2 million "
1,"England won the outside of Pakistan, if India won England, God will rain, both of them. # CWC19 "
1,"We suffer the pain of your wait quietly; Because you are the one who lives in our heart every moment; Do not let us sleep or not; But you can sleep properly, so you call a good night. good night! "
1,"Demand for industry organizations - Apply GST 2.0 Government, tax slab should be reduced to 2-3 https://abpnews.abplive.in/business/industry-demands-for-implementation-for-gst-2-0-and-reeducing -Tax-SLAB-1157508 ... "
1,"Another Muslim man's Mob Lynching, 'Tabaraj Ansari' resident of Jharkhand, was beaten badly by the beating for theft of theft. Honor asked his name and then the slogan of Jai Shri Ram, Jai Hanuman was beaten like a jalim. He has died in hospital yesterday. "
1,"There is a huge shortage of water in many parts of Delhi, Kejriwal told what did he do to get rid of the public? - Mr. @Manojtiwarimp "
1,Conspiracy to spoil the atmosphere in Delhi? Look at @minakshikandwal Report from Chaddani Chowk: http://bit.ly/at_livetv with #dangal @Sardanarohit 
1,"The light was found in grasslets, the light was found in the stomach, its arrangements used to do it very well. The housewife used to be so good, salt bread was also served like a confectionary. The darkness was not afraid of darkness. # Kanchu # Hindi_ "
0,"There is no crime. Brother ... keep pushing these lofty pigs and say that in the rescue of them, it was also time to do it. "
1,"The country is going through Muskil today, no one has a job near the young man, nor is there a better resource near the farmers or there is a better road network in the country. Neither the workers have a better job nor is there a teacher in the university or the Ganga is clear. If only then the country's treasure @abbasalirushdi "
1,Leave a lot ... just listen so ... you got separated ... we were scattered ... #atish #goodnighttwitterworld 
1,"In the cold nights, the fuselage of the wife kept in the drum, then the head left the hungry lions. Crime Tak to watch full video Click- https://bit.ly/303OIYX @ OriginalDipak50 "
0,By adding your hand from you. Road impression Buddha Aunt # Rhu_bika does not have his chat photos and ha ha do not even tell anyone and do not even do RT. You do not think anything. Abe Oy Marwari said # Kha or chipping k 
1,"Very gurur was a roof, a floor and made roof floor. # Aayesha @rekhta @ aayesha10796433 "
1,"If a patriot kills a little selfish on another patriot, then what is the first patriot becomes trick? # Godse # Pragya 14 "
1,Mother is Ganga! Nirvana Monthly Spiritual Magazine (Page 28) 
1,"45 years later in Mumbai, 21 people died in Malad accident, raised questions on BMC #Mumbairain https://abpnews.abplive.in/india-news/heavy-rains-in-mumbai-malad-wall-collapse -DEATH-TOLL-RISES-SAMS-BMC-1158797 ... "
1,Amarnath will be leaving tomorrow tomorrow's first jatha #amarnathyatra https://abpnews.abplive.in/india-news/amarnath-yatra-begins-from-sunday-multi-tier-security-arranged-1156978 ... 
1,# CWC19 #Ausvsnz Australian captain Aaron Finch credited to win the victory. @Cricketaus @blackcaps https://www.wahcricket.com/news/world-cup-2019-australian-captain-aaron-finch-credits-alex-carey-for-their-win-138647 ... 
1,Congratulations to Dr. Kafil Khan and best wishes in this world of junior kafil @Drkafeelkhan 
1,"What is the music of the people, why do you look at my soul whenever you see me, why love comes to you ~ Ashok Masruf # Bazm #tmg # Heart # Edb # Shayari #Kavya @Hindi_Shabd_htl # Words # Words # Bazm_masik_ Words # Hindi @ queen_hoon11 @kavita_kosh @kuchshabd "
1,#Savarkar #Savarkar is a lot of reading about the patriotism of Atal ji. This session is the judgment of the testimony. 
0,"Wow Ray hypocritical, where has the right to get from the other, has received any course or got a paude. Now the sky on the Hindu Mob Linching had lifted on the head in the TV debate. Pig .... "
0,And no one is just asking dogs like Bhanchod 
0,If you leave this brokerage then you will call the slogan cone of Jai Shri Ram. 
0,Happy that people seeing what a fraud this chutiya is  Useless credit stealing average-gaining knocks   Sums up 95% of his entire career 
1,"#Bilaspurdist #Ratanpur #CGNews #Chattisgarh # Dog licked # plate, # Tangia and #stone attacked in controversy, registered the case http://www.cgtop36.com/%E0%A4%95%E0% A5% 81% E0% A4% A4% E0% A5% 8D% E0% A4% A4% E0% A5% 87-% E0% A4% A8% E0% A5% 87-% E0% A4% 9A% E0% A4% E0% A4% 9F-% E0% A4% B2% E0% A4% BF% E0% A4% AF% E0% A4% BE-% E0% A4% A5% E0% A4% B% E0% A4% B2% E0% A5% 80-% E0% A4% B5% E0% A4% BF / VIA @ CGTOP36 "
1,"Hon'ble Century was presented in the Ministry from Hon'ble Central Rural Development, Panchayati Raj and Agriculture and Kisan Welfare Minister Mr. @Nstomar. "
1,"Now the important question of today is to RSS - when Ramandir had to handle the court, then why did people put the people in Ayodhya in 1992? "
0,Neem's address is bitter Third umpire is destroyed 340 scores. 
1,This is the first journey when heart is bright. 
0,You will not even lund 
1,"Hindu is bad, now the Muslim is bad, which is a part of the crowd by crushing the constitution, the person is bad, "
1,Yogi to include 17 castes will be decided after the study on the Government's proposal: Union Minister of State @Ramdasathawale (@ siddharatha05) #reporterdiary Other Video: http://bit.ly/indiatododaysocial ... 
0,"@Arvindkejriwal needs Godse to the country and not in one thousand. Like Kejriwal, the dishonest was not in the country and will not. "
0,The ass has loosened them 
1,Dr. Dr. in my Lok Sabha Baghel ji has been a sonshok (27-year-old). He is in charge of BJP Buri. 
0,Let's see how much water is full in your pussy ..! 
1,"Delhi: After subversion in the temple, stress in the Chawde Market area, the battle started from the parking "
0,"It is so big that how much abuse it does not make any difference, it keeps its Randyagiri. Surely a cutway has done its mother, then it has come out of his mother's head. "
1,"Mumbai's school-office will open tomorrow or not? Mumbai's local train will run from time to time? Today in Mumbai, tomorrow will get relief? Who made Mumbai rain? Rain, badness and BMC ... see in 19 stories 'tomorrow' @zeenews 6:30 PM "
1,# CWC19 After the defeat of England captain Virat Kohli told them responsible for the defeat. @Bcci @imvkohli #indveng https://www.wahcricket.com/news/world-cup-2019-dian-captain-virat-kohlis-reaction-efter-lose-against-england-138724 ... 
1,"Next step, I put a duty of night to the first honor "
1,"Even today, some people do not buy TV, bed, fridge for 21 years, these people wait for the boy's wedding "
0,"Matherchod is afraid to take the name of the Muslim, if the same attack had happened on the mosque, then all Hindu terrorists had become tolerance in the country. The award was taken to the gang, but all the mother has gone. "
1,Satu Satya # '# Teri Memorables' on the dog became a super hit! But the strongest leader # was flopped on Modi! # Embarrassing @baboo_sahab_ @aasmakhan_khan 
0,Times prime - now shop till you drop. Me - the prophet bosses. 
1,"#Indvsban 2 changes in Team India against Bangladesh, instead of Kedar Jadhav, Dinesh Karthik and Kuldeep were replaced by Bhubaneswar Kumar - http://zeenews.india.com/hindi/live-tv # worldcup2019 "
0,How many times have you happened to your mother? 
0,"Large dust man, you go, go to Imran's lund suck, when she killed 45 soldiers, then she was killing her ass, she was a heavy person. You were not a slave, like you. There were foreigners who became a slave slave and even today. "
0,"The media is so scared and why is helpless? The media that is directly on the opposition becomes dumb on BJP. Sometimes he asks the opposition and sometimes he is responsible for the doctor and nurse? Will our country progress? When people do not question the government, how will the government work? "
1,Said that big olden You do not hear anyone. The experience does not come similar. There was a big old man. You do not hear anybody. The experience does not come like this. ... 
1,Giriraj Singh took the oath of the ministerial post. # Kahiah_kumar 
1,"On removing each other's drawbacks, the third makes it straightforward. "
1,"Today's best luxurious RSS is a social organization, it works for the good of society "
0,"It is just a lack of shoes for lack of laughing for you. It is not late in your lining. It is late to wake up of Hindus. You should die of a dog like Suvar Suwar, Suvar Suvar Suvar .... "
1,Ahmed's Dad: - Why son is not talking about your mother today? Ahmed .... 
0,Modi says that Sonia Gandhi is the widow of the Congress. Then Modi is the father of Baba BJP. 
1,"Abe This Hindu Muslim is what happens! There is no religion of monster. In my eyes, there are rulers whatever they are. In 24 hours, such courses should be hanged on the gallows so that the soul trembles. #Justicefortwinklesharma "
1,I am in Kashi ... Baba Vishwanath ji's grand worshiped .. Varanasi's Shobha has grown miraculously Jai Vishwanath .. I came to vote for his mother 
1,"Learn how it will be the stock market before the budget, what can be a straightforward investor https://abpnews.abplive.in/business/know-bout-market-possibilities-before-budget-this-Strategy-could-be-upt -By-Investors-1158273 ... # Budget2019 "
1,"Rahul Gandhiji, who has done a small holiday from Modi ji to Modi ji, will never compromise any political agreement after the statement of slapping by Mamta Banerjee. People are hopeful to keep such limits alive "
1,Who spreads all the lights in their luck 
1,#MIM National SpoCasparso @ SocialMarker Leaway On @ Nurs 18 India #Crap @ Amishdivetan @ Connordive 
1,This mandate has been found to fulfill the hopes and aspirations of New India. Who will give new energy to our relations with the whole world: PM Modi 
0,"Mian @Imranhussaain and Maulana @arvindkejriwal are becoming a special gift of pig skins to welcome both of you, because the elections are closer and certainly will have to come to my street neighborhood. "
1,"100+ Badhai, 100+ Mujaffarpur K Bachho K Taraf Se ... # Despect #savebiharchildren #EncephalitisDeaths "
0,"If Hindus would have done on a tomb, then you screamed loudly by RSS who did the Bajrang Dal and give you a pig. You started watching Naughty Elements "
1,"# The path is made mad, friends, #cold_drink speaks of speaking, friends, how many are # ahead of work but always stay ahead # friend !! "
1,"Resignation of resignation in Congress: MP Bajwa will resign of all Chief Minister, State Chairs, CWC members https://abpnews.abplive.in/india-news/mp-bajwa-asked-for-resignation-of-all-cm- State-Presidents-and-CWC-MEMBERS-of-congress-1157061 ... (Report @jainendrakumar) "
1,"Love is like an unbreakable Tilism, once entered the whole life, everything is like heaven, this illusion is so ...... # Yours # Hindi_ "
1,#Aarpaar See heavy Manoj Tiwari at all this evening at 6:57 pm with just # News18India. 
1,"One friendly said the money is dirty that washing the hands of the hand, washing his hand from a week, allergue hugs # of the Commission friend "
1,Click Read about this smartphone .. 
1,"We are entangled in this commitment, all of them are their own, saw the waves from the ocean, one by one tax in Sahil's fun, all the kashas were reduced. # Hindi # Words "
1,"Look, our sister went to run Rahul Gandhi, but 200 children did not see Khamos Modi on death? Such journalists are given training 4 hours in PMO office to make the small things of the opposition. Keep your name in waste will be remembered in ruining the country. "
1,Baba Saheb Dr. Bhim Rao Ambedkar is our 'Mahadev' ..... They are protecting ours even today ..... Baba Saheb's hail ... 
1,The state has been said. Do not know .. Dua. Everything is fine 
